ProductKey;OrderDateKey;DueDateKey;ShipDateKey;CustomerKey;SalesOrderNumber;ProductCost;SalesPrice
381;20220101;20220113;20220108;16942;SO46700;605,6492;1000,4375
375;20220101;20220113;20220108;15114;SO46701;1320,6838;2181,5625
369;20220101;20220113;20220108;15116;SO46702;1518,7864;2443,35
337;20220101;20220113;20220108;20576;SO46703;486,7066;782,99
370;20220101;20220113;20220108;13059;SO46704;1518,7864;2443,35
370;20220101;20220113;20220108;13085;SO46705;1518,7864;2443,35
352;20220101;20220113;20220108;20186;SO46706;1117,8559;2071,4196
337;20220101;20220113;20220108;15199;SO46707;486,7066;782,99
377;20220101;20220113;20220108;21200;SO46708;1320,6838;2181,5625
387;20220102;20220114;20220109;19172;SO46709;605,6492;1000,4375
356;20220102;20220114;20220109;11484;SO46710;1117,8559;2071,4196
369;20220102;20220114;20220109;13592;SO46711;1518,7864;2443,35
373;20220102;20220114;20220109;13779;SO46712;1320,6838;2181,5625
371;20220102;20220114;20220109;24778;SO46713;1320,6838;2181,5625
368;20220102;20220114;20220109;13093;SO46714;1518,7864;2443,35
375;20220102;20220114;20220109;24976;SO46715;1320,6838;2181,5625
375;20220102;20220114;20220109;25046;SO46716;1320,6838;2181,5625
368;20220102;20220114;20220109;25048;SO46717;1518,7864;2443,35
360;20220102;20220114;20220109;12570;SO46718;1105,81;2049,0982
362;20220103;20220115;20220110;11604;SO46719;1105,81;2049,0982
371;20220103;20220115;20220110;13667;SO46720;1320,6838;2181,5625
370;20220103;20220115;20220110;16046;SO46721;1518,7864;2443,35
385;20220103;20220115;20220110;17095;SO46722;605,6492;1000,4375
368;20220103;20220115;20220110;12918;SO46723;1518,7864;2443,35
368;20220103;20220115;20220110;28663;SO46724;1518,7864;2443,35
369;20220103;20220115;20220110;21191;SO46725;1518,7864;2443,35
373;20220103;20220115;20220110;20999;SO46726;1320,6838;2181,5625
370;20220103;20220115;20220110;21002;SO46727;1518,7864;2443,35
358;20220103;20220115;20220110;12354;SO46728;1105,81;2049,0982
321;20220103;20220115;20220110;26019;SO46729;486,7066;782,99
379;20220104;20220116;20220111;15100;SO46730;1320,6838;2181,5625
371;20220104;20220116;20220111;15101;SO46731;1320,6838;2181,5625
385;20220104;20220116;20220111;13992;SO46732;605,6492;1000,4375
375;20220104;20220116;20220111;24781;SO46733;1320,6838;2181,5625
375;20220104;20220116;20220111;13060;SO46734;1320,6838;2181,5625
371;20220104;20220116;20220111;13226;SO46735;1320,6838;2181,5625
360;20220104;20220116;20220111;12341;SO46736;1105,81;2049,0982
354;20220104;20220116;20220111;12346;SO46737;1117,8559;2071,4196
362;20220104;20220116;20220111;12576;SO46738;1105,81;2049,0982
373;20220105;20220117;20220112;15699;SO46739;1320,6838;2181,5625
379;20220105;20220117;20220112;12980;SO46740;1320,6838;2181,5625
370;20220105;20220117;20220112;28766;SO46741;1518,7864;2443,35
358;20220105;20220117;20220112;20206;SO46742;1105,81;2049,0982
373;20220105;20220117;20220112;21183;SO46743;1320,6838;2181,5625
370;20220105;20220117;20220112;21199;SO46744;1518,7864;2443,35
369;20220106;20220118;20220113;13056;SO46745;1518,7864;2443,35
368;20220106;20220118;20220113;13057;SO46746;1518,7864;2443,35
360;20220106;20220118;20220113;26127;SO46747;1105,81;2049,0982
360;20220106;20220118;20220113;26252;SO46748;1105,81;2049,0982
354;20220106;20220118;20220113;12350;SO46749;1117,8559;2071,4196
377;20220107;20220119;20220114;16054;SO46750;1320,6838;2181,5625
377;20220107;20220119;20220114;12934;SO46751;1320,6838;2181,5625
343;20220107;20220119;20220114;19931;SO46752;486,7066;782,99
379;20220107;20220119;20220114;21215;SO46753;1320,6838;2181,5625
